category_id,category_name,parent_category_id,full_path
1,Computers&Accessories,,Computers&Accessories
2,Accessories&Peripherals,1,Computers&Accessories|Accessories&Peripherals
3,Cables&Accessories,2,Computers&Accessories|Accessories&Peripherals|Cables&Accessories
4,Cables,3,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables
5,USBCables,4,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
6,NetworkingDevices,1,Computers&Accessories|NetworkingDevices
7,NetworkAdapters,6,Computers&Accessories|NetworkingDevices|NetworkAdapters
8,WirelessUSBAdapters,7,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters
9,Electronics,,Electronics
10,"HomeTheater,TV&Video",9,"Electronics|HomeTheater,TV&Video"
11,Accessories,10,"Electronics|HomeTheater,TV&Video|Accessories"
12,Cables,11,"Electronics|HomeTheater,TV&Video|Accessories|Cables"
13,HDMICables,12,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables"
14,Televisions,10,"Electronics|HomeTheater,TV&Video|Televisions"
15,SmartTelevisions,14,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions"
16,RemoteControls,11,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls"
17,StandardTelevisions,14,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions"
18,"TVMounts,Stands&Turntables",11,"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables"
19,TVWall&CeilingMounts,18,"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts"
20,RCACables,12,"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables"
21,HomeAudio,9,Electronics|HomeAudio
22,Accessories,21,Electronics|HomeAudio|Accessories
23,SpeakerAccessories,22,Electronics|HomeAudio|Accessories|SpeakerAccessories
24,Mounts,23,Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts
25,OpticalCables,12,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables"
26,Projectors,10,"Electronics|HomeTheater,TV&Video|Projectors"
27,Adapters,22,Electronics|HomeAudio|Accessories|Adapters
28,SatelliteEquipment,10,"Electronics|HomeTheater,TV&Video|SatelliteEquipment"
29,SatelliteReceivers,28,"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers"
30,DVICables,4,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables
31,SpeakerCables,12,"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables"
32,MediaStreamingDevices,21,Electronics|HomeAudio|MediaStreamingDevices
33,StreamingClients,32,Electronics|HomeAudio|MediaStreamingDevices|StreamingClients
34,AVReceivers&Amplifiers,10,"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers"
35,Speakers,21,Electronics|HomeAudio|Speakers
36,TowerSpeakers,35,Electronics|HomeAudio|Speakers|TowerSpeakers
37,3DGlasses,11,"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses"
38,WearableTechnology,9,Electronics|WearableTechnology
39,SmartWatches,38,Electronics|WearableTechnology|SmartWatches
40,Mobiles&Accessories,9,Electronics|Mobiles&Accessories
41,MobileAccessories,40,Electronics|Mobiles&Accessories|MobileAccessories
42,Chargers,41,Electronics|Mobiles&Accessories|MobileAccessories|Chargers
43,PowerBanks,42,Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks
44,Smartphones&BasicMobiles,40,Electronics|Mobiles&Accessories|Smartphones&BasicMobiles
45,Smartphones,44,Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones
46,Accessories,9,Electronics|Accessories
47,MemoryCards,46,Electronics|Accessories|MemoryCards
48,MicroSD,47,Electronics|Accessories|MemoryCards|MicroSD
49,BasicMobiles,44,Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles
