product_id,product_name,category_id,product_link
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),8,https://www.amazon.in/D-Link-DWA-131-Wireless-Adapter-Black/dp/B002PD61Y4/ref=sr_1_50?qid=1672909126&s=electronics&sr=1-50
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",8,https://www.amazon.in/TP-Link-TL-WN722N-150Mbps-Wireless-Adapter/dp/B002SZEOLG/ref=sr_1_162?qid=1672909131&s=electronics&sr=1-162
B003B00484,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,133,https://www.amazon.in/Duracell-AAA-750mAh-Rechargeable-Batteries/dp/B003B00484/ref=sr_1_148?qid=1672903002&s=computers&sr=1-148
B003L62T7W,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",82,https://www.amazon.in/Logitech-B100-Optical-Mouse-Black/dp/B003L62T7W/ref=sr_1_151?qid=1672903002&s=computers&sr=1-151
B004IO5BMQ,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop",82,https://www.amazon.in/Logitech-M235-Wireless-Mouse-Grey/dp/B004IO5BMQ/ref=sr_1_163?qid=1672903002&s=computers&sr=1-163
B005FYNT3G,SanDisk Cruzer Blade 32GB USB Flash Drive,80,https://www.amazon.in/SanDisk-Cruzer-Blade-Flash-Drive/dp/B005FYNT3G/ref=sr_1_5?qid=1672902995&s=computers&sr=1-5
B005LJQMCK,"BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)",25,https://www.amazon.in/BlueRigger-Digital-Optical-Audio-Toslink/dp/B005LJQMCK/ref=sr_1_167?qid=1672909131&s=electronics&sr=1-167
B005LJQMZC,"BlueRigger Digital Optical Audio Toslink Cable (6 Feet / 1.8 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)",25,https://www.amazon.in/BlueRigger-Digital-Optical-Toslink-Meters/dp/B005LJQMZC/ref=sr_1_209?qid=1672909134&s=electronics&sr=1-209
B006LW0WDQ,Amazon Basics 16-Gauge Speaker Wire - 50 Feet,31,https://www.amazon.in/AmazonBasics-16-Gauge-Speaker-Wire-Feet/dp/B006LW0WDQ/ref=sr_1_263?qid=1672909136&s=electronics&sr=1-263
B0073QGKAS,Bajaj ATX 4 750-Watt Pop-up Toaster (White),270,https://www.amazon.in/Bajaj-ATX-750-Watt-Pop-up-Toaster/dp/B0073QGKAS/ref=sr_1_194?qid=1672923600&s=kitchen&sr=1-194
B0083T231O,Belkin Essential Series 4-Socket Surge Protector Universal Socket with 5ft Heavy Duty Cable (Grey),214,https://www.amazon.in/Belkin-Essential-F9E400zb1-5MGRY-4-Socket-Protector/dp/B0083T231O/ref=sr_1_430?qid=1672903016&s=computers&sr=1-430
