date_id,full_date,year,quarter,month,month_name,day,day_of_year,day_of_week,week_of_year,day_name,quarter_name,month_abbr,year_month
20200101,2020-01-01,2020,1,1,January,1,1,3,1,Wednesday,Q1,Jan,2020-01
20200102,2020-01-02,2020,1,1,January,2,2,4,1,Thursday,Q1,Jan,2020-01
20200103,2020-01-03,2020,1,1,January,3,3,5,1,Friday,Q1,Jan,2020-01
20200104,2020-01-04,2020,1,1,January,4,4,6,1,Saturday,Q1,Jan,2020-01
20200105,2020-01-05,2020,1,1,January,5,5,7,1,Sunday,Q1,Jan,2020-01
20200106,2020-01-06,2020,1,1,January,6,6,1,2,Monday,Q1,Jan,2020-01
20200107,2020-01-07,2020,1,1,January,7,7,2,2,Tuesday,Q1,Jan,2020-01
20200108,2020-01-08,2020,1,1,January,8,8,3,2,Wednesday,Q1,Jan,2020-01
20200109,2020-01-09,2020,1,1,January,9,9,4,2,Thursday,Q1,Jan,2020-01
20200110,2020-01-10,2020,1,1,January,10,10,5,2,Friday,Q1,Jan,2020-01
20200111,2020-01-11,2020,1,1,January,11,11,6,2,Saturday,Q1,Jan,2020-01
20200112,2020-01-12,2020,1,1,January,12,12,7,2,Sunday,Q1,Jan,2020-01
20200113,2020-01-13,2020,1,1,January,13,13,1,3,Monday,Q1,Jan,2020-01
20200114,2020-01-14,2020,1,1,January,14,14,2,3,Tuesday,Q1,Jan,2020-01
20200115,2020-01-15,2020,1,1,January,15,15,3,3,Wednesday,Q1,Jan,2020-01
20200116,2020-01-16,2020,1,1,January,16,16,4,3,Thursday,Q1,Jan,2020-01
20200117,2020-01-17,2020,1,1,January,17,17,5,3,Friday,Q1,Jan,2020-01
20200118,2020-01-18,2020,1,1,January,18,18,6,3,Saturday,Q1,Jan,2020-01
20200119,2020-01-19,2020,1,1,January,19,19,7,3,Sunday,Q1,Jan,2020-01
20200120,2020-01-20,2020,1,1,January,20,20,1,4,Monday,Q1,Jan,2020-01
20200121,2020-01-21,2020,1,1,January,21,21,2,4,Tuesday,Q1,Jan,2020-01
20200122,2020-01-22,2020,1,1,January,22,22,3,4,Wednesday,Q1,Jan,2020-01
20200123,2020-01-23,2020,1,1,January,23,23,4,4,Thursday,Q1,Jan,2020-01
20200124,2020-01-24,2020,1,1,January,24,24,5,4,Friday,Q1,Jan,2020-01
20200125,2020-01-25,2020,1,1,January,25,25,6,4,Saturday,Q1,Jan,2020-01
20200126,2020-01-26,2020,1,1,January,26,26,7,4,Sunday,Q1,Jan,2020-01
20200127,2020-01-27,2020,1,1,January,27,27,1,5,Monday,Q1,Jan,2020-01
20200128,2020-01-28,2020,1,1,January,28,28,2,5,Tuesday,Q1,Jan,2020-01
20200129,2020-01-29,2020,1,1,January,29,29,3,5,Wednesday,Q1,Jan,2020-01
20200130,2020-01-30,2020,1,1,January,30,30,4,5,Thursday,Q1,Jan,2020-01
20200131,2020-01-31,2020,1,1,January,31,31,5,5,Friday,Q1,Jan,2020-01
20200201,2020-02-01,2020,1,2,February,1,32,6,5,Saturday,Q1,Feb,2020-02
20200202,2020-02-02,2020,1,2,February,2,33,7,5,Sunday,Q1,Feb,2020-02
20200203,2020-02-03,2020,1,2,February,3,34,1,6,Monday,Q1,Feb,2020-02
20200204,2020-02-04,2020,1,2,February,4,35,2,6,Tuesday,Q1,Feb,2020-02
20200205,2020-02-05,2020,1,2,February,5,36,3,6,Wednesday,Q1,Feb,2020-02
20200206,2020-02-06,2020,1,2,February,6,37,4,6,Thursday,Q1,Feb,2020-02
20200207,2020-02-07,2020,1,2,February,7,38,5,6,Friday,Q1,Feb,2020-02
20200208,2020-02-08,2020,1,2,February,8,39,6,6,Saturday,Q1,Feb,2020-02
20200209,2020-02-09,2020,1,2,February,9,40,7,6,Sunday,Q1,Feb,2020-02
20200210,2020-02-10,2020,1,2,February,10,41,1,7,Monday,Q1,Feb,2020-02
20200211,2020-02-11,2020,1,2,February,11,42,2,7,Tuesday,Q1,Feb,2020-02
20200212,2020-02-12,2020,1,2,February,12,43,3,7,Wednesday,Q1,Feb,2020-02
20200213,2020-02-13,2020,1,2,February,13,44,4,7,Thursday,Q1,Feb,2020-02
20200214,2020-02-14,2020,1,2,February,14,45,5,7,Friday,Q1,Feb,2020-02
20200215,2020-02-15,2020,1,2,February,15,46,6,7,Saturday,Q1,Feb,2020-02
20200216,2020-02-16,2020,1,2,February,16,47,7,7,Sunday,Q1,Feb,2020-02
20200217,2020-02-17,2020,1,2,February,17,48,1,8,Monday,Q1,Feb,2020-02
20200218,2020-02-18,2020,1,2,February,18,49,2,8,Tuesday,Q1,Feb,2020-02
20200219,2020-02-19,2020,1,2,February,19,50,3,8,Wednesday,Q1,Feb,2020-02
20200220,2020-02-20,2020,1,2,February,20,51,4,8,Thursday,Q1,Feb,2020-02
20200221,2020-02-21,2020,1,2,February,21,52,5,8,Friday,Q1,Feb,2020-02
20200222,2020-02-22,2020,1,2,February,22,53,6,8,Saturday,Q1,Feb,2020-02
20200223,2020-02-23,2020,1,2,February,23,54,7,8,Sunday,Q1,Feb,2020-02
20200224,2020-02-24,2020,1,2,February,24,55,1,9,Monday,Q1,Feb,2020-02
